-122.85,61.13,183.0,CAE0220N003,LINDBERG LANDING
-133.5,68.75,85.0,CAE0220N005,TRAIL VALLEY
-94.07,61.09,10.4,CAE02300427,ARVIAT A
-96.0,64.32,50.8,CAE02300501,BAKER LAKE CLIMATE
-96.08,64.3,18.6,CAE02300503,BAKER LAKE A
-96.08,64.3,18.6,CAE02300504,BAKER LAKE A
-108.01,66.84,5.0,CAE02300551,BATHURST INLET
-90.73,63.34,12.4,CAE02300708,CHESTERFIELD INLET AIRPORT
-90.73,63.35,9.8,CAE02300710,CHESTERFIELD INLET A
-115.14,67.82,22.6,CAE02300903,KUGLUKTUK A
-115.14,67.82,22.6,CAE02300904,KUGLUKTUK CLIMATE
-115.14,67.82,22.6,CAE02300905,KUGLUKTUK A
-83.36,64.19,62.2,CAE02301002,CORAL HARBOUR A
-83.36,64.19,62.2,CAE02301004,CORAL HARBOUR A
-83.35,64.18,57.0,CAE02301010,CORAL HARBOUR RCS
-100.88,61.13,353.1,CAE02301102,ENNADAI LAKE (AUT)
-94.07,61.1,9.8,CAE02301153,ARVIAT CLIMATE
-95.85,68.64,46.9,CAE02302337,GJOA HAVEN A
-95.85,68.64,42.3,CAE02302340,GJOA HAVEN CLIMATE
-89.8,68.54,15.8,CAE02303094,KUGAARUK CLIMATE
-89.81,68.54,15.5,CAE02303095,KUGAARUK A
-92.11,62.81,32.3,CAE02303405,RANKIN INLET A
-102.43,65.1,243.7,CAE02303610,ROBERTSON LAKE (AUT)
-79.25,56.54,33.5,CAE02303660,SANIKILUAQ A
-79.26,56.54,34.0,CAE02303668,SANIKILUAQ
-92.6,62.24,12.2,CAE02303990,WHALE COVE A
-111.25,65.76,488.0,CAE0230N002,LUPIN CS
-62.33,82.5,65.4,CAE02400305,ALERT CLIMATE
-85.05,73.01,21.9,CAE02400399,ARCTIC BAY
-85.01,72.99,10.0,CAE02400404,ARCTIC BAY CS
-64.03,67.55,6.4,CAE02400573,QIKIQTARJUAQ CLIMATE
-64.03,67.55,5.5,CAE02400577,QIKIQTARJUAQ A
-105.14,69.11,31.1,CAE02400601,CAMBRIDGE BAY A
-105.14,69.11,18.7,CAE02400602,CAMBRIDGE BAY GSN
-105.14,69.11,31.1,CAE02400603,CAMBRIDGE BAY A
-76.53,64.23,50.0,CAE02400636,KINNGAIT
-76.53,64.23,48.2,CAE02400637,KINNGAIT AIRPORT
-78.29,73.67,2.0,CAE02400675,CAPE LIVERPOOL
-68.52,70.48,26.5,CAE02400802,CLYDE RIVER CLIMATE
-68.52,70.49,26.5,CAE02400804,CLYDE RIVER A
-85.93,79.99,10.0,CAE02401199,EUREKA CLIMATE
-85.81,79.99,82.9,CAE02401208,EUREKA A
-94.2,72.02,10.0,CAE02402051,FORT ROSS
-82.9,76.42,44.5,CAE02402351,GRISE FIORD CLIMATE
-81.24,68.78,8.2,CAE02402353,SANIRAJAK
-81.24,68.78,9.1,CAE02402354,SANIRAJAK AIRPORT
-82.91,76.43,41.1,CAE02402360,GRISE FIORD A
-81.82,69.36,52.7,CAE02402546,IGLOOLIK A
-68.54,63.75,33.5,CAE02402592,IQALUIT CLIMATE
-68.56,63.76,33.5,CAE02402596,IQALUIT A
-69.88,62.85,51.5,CAE02402673,KIMMIRUT A
-65.71,66.14,22.6,CAE02403049,PANGNIRTUNG
-65.71,66.15,24.0,CAE02403054,PANGNIRTUNG A
-77.96,72.69,64.7,CAE02403204,POND INLET CLIMATE
-77.97,72.69,61.6,CAE02403206,POND INLET A
-105.72,75.38,15.0,CAE02403450,REA POINT
-86.22,66.52,22.9,CAE02403495,NAUJAAT A
-94.97,74.72,67.7,CAE02403497,RESOLUTE BAY A
-94.97,74.72,67.7,CAE02403498,RESOLUTE BAY A
-94.98,74.72,30.0,CAE02403505,RESOLUTE CS
-105.3,73.77,11.0,CAE02403756,STEFANSSON ISLAND
-91.82,81.16,72.0,CAE02403833,SVARTEVAEG
-93.58,69.55,27.4,CAE02403856,TALOYOAK A
-89.45,65.88,18.0,CAE02403945,WAGER BAY (AUT)
-119.99,74.14,32.0,CAE02500440,NANGMAGVIK LAKE
-117.81,70.76,36.0,CAE02502503,ULUKHAKTOK A
-117.8,70.76,29.8,CAE02502505,ULUKHAKTOK
-125.25,71.99,87.5,CAE02503648,SACHS HARBOUR CLIMATE
-125.24,71.99,86.3,CAE02503649,SACHS HARBOUR A
-119.54,73.23,41.5,CAE02503886,THOMSEN RIVER
-112.82,53.05,739.0,CAE03011240,CAMROSE
-111.45,52.07,791.0,CAE03011887,CORONATION CLIMATE
-113.61,53.31,715.0,CAE03012206,EDMONTON INTERNATIONAL CS
-113.52,53.57,671.0,CAE03012209,EDMONTON BLATCHFORD
-113.58,53.31,723.3,CAE03012216,EDMONTON INTL A
-113.86,53.67,687.6,CAE03012229,EDMONTON VILLENEUVE A
-112.87,53.68,716.2,CAE03012275,ELK ISLAND NAT PARK
-110.07,53.31,668.7,CAE03013959,LLOYDMINSTER
-111.73,53.42,687.0,CAE03015401,RANFURLY AUTO
-114.91,52.42,988.2,CAE03015523,ROCKY MTN HOUSE (AUT)
-112.1,53.51,639.3,CAE03016GF0,VEGREVILLE
